model,usercf_k,mf_k,w_usercf,w_mf,RMSE,MAE,rows
AllPair_Weighted_Ensemble,20,100,0.3,0.7,0.9262,0.7346,13586
AllPair_Weighted_Ensemble,20,5,0.2,0.8,0.9268,0.7331,13586
AllPair_Weighted_Ensemble,100,100,0.3,0.7,0.9269,0.7365,13586
AllPair_Weighted_Ensemble,10,20,0.3,0.7,0.927,0.7341,13586
AllPair_Weighted_Ensemble,50,5,0.2,0.8,0.9271,0.7334,13586
AllPair_Weighted_Ensemble,5,10,0.2,0.8,0.9272,0.7336,13586
AllPair_Weighted_Ensemble,10,5,0.2,0.8,0.9276,0.7336,13586
AllPair_Weighted_Ensemble,10,100,0.3,0.7,0.928,0.7359,13586
AllPair_Weighted_Ensemble,100,5,0.2,0.8,0.9281,0.7348,13586
AllPair_Weighted_Ensemble,20,10,0.3,0.7,0.9291,0.7364,13586
AllPair_Weighted_Ensemble,50,10,0.3,0.7,0.9291,0.7365,13586
AllPair_Weighted_Ensemble,5,5,0.2,0.8,0.9294,0.7347,13586
AllPair_Weighted_Ensemble,5,50,0.3,0.7,0.9301,0.7363,13586
AllPair_Weighted_Ensemble,50,50,0.4,0.6,0.9303,0.7378,13586
AllPair_Weighted_Ensemble,100,10,0.3,0.7,0.9304,0.7384,13586
AllPair_Weighted_Ensemble,10,10,0.3,0.7,0.9308,0.7378,13586
AllPair_Weighted_Ensemble,5,20,0.3,0.7,0.931,0.737,13586
AllPair_Weighted_Ensemble,20,5,0.3,0.7,0.931,0.7375,13586
AllPair_Weighted_Ensemble,50,5,0.3,0.7,0.9311,0.7377,13586
AllPair_Weighted_Ensemble,20,50,0.4,0.6,0.9312,0.7382,13586
AllPair_Weighted_Ensemble,50,20,0.4,0.6,0.9314,0.7389,13586
AllPair_Weighted_Ensemble,100,50,0.4,0.6,0.9316,0.7401,13586
AllPair_Weighted_Ensemble,50,100,0.4,0.6,0.9317,0.7401,13586
AllPair_Weighted_Ensemble,5,100,0.3,0.7,0.9321,0.7388,13586
AllPair_Weighted_Ensemble,20,20,0.4,0.6,0.9322,0.7392,13586
AllPair_Weighted_Ensemble,100,5,0.3,0.7,0.9324,0.7397,13586
AllPair_Weighted_Ensemble,20,100,0.4,0.6,0.9326,0.7402,13586
AllPair_Weighted_Ensemble,100,20,0.4,0.6,0.9327,0.7411,13586
AllPair_Weighted_Ensemble,10,5,0.3,0.7,0.9329,0.7387,13586
AllPair_Weighted_Ensemble,100,100,0.4,0.6,0.9329,0.7422,13586
AllPair_Weighted_Ensemble,10,50,0.4,0.6,0.9345,0.7406,13586
AllPair_Weighted_Ensemble,5,10,0.3,0.7,0.935,0.7408,13586
AllPair_Weighted_Ensemble,50,10,0.4,0.6,0.9354,0.7424,13586
AllPair_Weighted_Ensemble,10,20,0.4,0.6,0.9356,0.7417,13586
AllPair_Weighted_Ensemble,10,100,0.4,0.6,0.9359,0.7425,13586
AllPair_Weighted_Ensemble,20,10,0.4,0.6,0.9359,0.7425,13586
AllPair_Weighted_Ensemble,100,10,0.4,0.6,0.9369,0.7448,13586
AllPair_Weighted_Ensemble,5,5,0.3,0.7,0.937,0.7416,13586
AllPair_Weighted_Ensemble,50,5,0.4,0.6,0.9372,0.7433,13586
AllPair_Weighted_Ensemble,20,5,0.4,0.6,0.9377,0.7435,13586
AllPair_Weighted_Ensemble,100,5,0.4,0.6,0.9388,0.7459,13586
AllPair_Weighted_Ensemble,50,50,0.5,0.5,0.939,0.7453,13586
AllPair_Weighted_Ensemble,10,10,0.4,0.6,0.9392,0.745,13586
AllPair_Weighted_Ensemble,50,100,0.5,0.5,0.9399,0.7469,13586
AllPair_Weighted_Ensemble,50,20,0.5,0.5,0.9401,0.7462,13586
AllPair_Weighted_Ensemble,100,50,0.5,0.5,0.9406,0.748,13586
AllPair_Weighted_Ensemble,20,50,0.5,0.5,0.9408,0.7462,13586
AllPair_Weighted_Ensemble,10,5,0.4,0.6,0.9411,0.7457,13586
AllPair_Weighted_Ensemble,100,100,0.5,0.5,0.9414,0.7494,13586
AllPair_Weighted_Ensemble,20,100,0.5,0.5,0.9417,0.7477,13586
AllPair_Weighted_Ensemble,100,20,0.5,0.5,0.9417,0.7489,13586
AllPair_Weighted_Ensemble,20,20,0.5,0.5,0.9418,0.747,13586
AllPair_Weighted_Ensemble,5,50,0.4,0.6,0.9419,0.7462,13586
AllPair_Weighted_Ensemble,5,20,0.4,0.6,0.9429,0.7471,13586
AllPair_Weighted_Ensemble,5,100,0.4,0.6,0.9432,0.748,13586
AllPair_Weighted_Ensemble,50,10,0.5,0.5,0.9438,0.7495,13586
AllPair_Weighted_Ensemble,20,10,0.5,0.5,0.9451,0.7501,13586
AllPair_Weighted_Ensemble,50,5,0.5,0.5,0.9454,0.7502,13586
AllPair_Weighted_Ensemble,100,10,0.5,0.5,0.9456,0.7523,13586
